q_id,query
89,Я не могу найти БИК банка
90,Где находится отделение банка для физических лиц? Обменивают ли вы тенге на рубли?
91,Можно ли получить 0% кэшбека через карту вместо стикера?
92,У меня номер телефона заблокирован
93,Как получить историю переводов за период 0000-0000 год?
94,Можно ли получить код через сообщение на телефон вместо уведомления?
95,Где исчезли кредитные карты? Почему их невозможно найти?
96,"Посмотрел историю транзакций, новых поступлений не видно"
97,Я оформила 00.000
98,"Как мне оплатить за детский сад, если банк не находит реквизиты садика?"
99,Как выполнить работу?
100,Можно ли оформить дополнительную дебетовую карту с другим номером телефона?
101,Почему не обновляется баланс?
102,Какие счета у меня есть?
103,На расчетный счет поступила не полная сумма за вчерашний день
104,Как привязать телефонный номер к карте для получения переводов по номеру телефона?
105,До какого времени она действует?
106,Где находятся поступившие детские пособия и почему они отсутствуют на счете?
107,"Мне пришло предложение с максимальной суммой 00000, я оформил на 0 тысяч, но отображается 00000."
108,Время работы отделения в Митино?
109,Есть ли поступления от меня?
110,Какие активные счета находятся на моем имени?
111,Откуда поступили средства?
112,Какой максимальный лимит установлен на моей кредитной карте?
113,Как получить кешбек?
114,Почему не отображается баланс на карте?
115,Не зачислился на баланс
116,В какое время я использовала кредитную карту?
117,Можно ли использовать карту после получения пластиковой карты?
118,Как открыть расчётный счёт?
119,Какие причины могут вызывать отсутствие уведомлений о переводах?
120,Часы работы доступны круглосуточно?
121,Как можно узнать свой расчетный счет или выполнить эту процедуру?
122,За последние 0 месяцев
123,Как найти кредитную карту с лимитом 00000 на экране?
124,Как получить карту банка?
125,Реквизиты были проверены.
126,Что означает поступление пополнения XXXXX от программы лояльности банка?
127,Могу ли я перевести деньги с кредитной карты без комиссии?
128,"Какой способ обновить номер телефона, если он остался прежним?"
129,Как проверить свой расчетный счет?
130,Как обстоят дела с платежами через СБП?
131,How can I get a OneTrip account?
132,После переиздания карты изменяются ли данные счета?
133,Какие проблемы возникают с получением уведомлений о пополнениях?
134,"Здравствуйте. Прошу отключить кредитную функцию на карте, оставив только возможность использования собственных средств."
135,Какой расчетный счет у меня?
136,Как выполнить работу?
137,Где можно найти БИК банка?
138,"Нужно ввести номер карты, а не счета"
139,"Как проверить, что платеж по кредиту был зачислен?"
140,Как проверить статус последней операции на сумму 000 рублей?
141,Как найти платеж за сентябрь XXXXX?
142,"Как разорвать связь карты, если она привязана к другому устройству?"
143,Когда будет доступна моя кредитная карта?
144,Как невозможно определить срок действия?
145,завтра по силам приехать в отделение в Пушкино
146,Как выполнить операцию?
147,Как оформить криптовалютную карту на 00.000 вместо 00.000?
148,Какие карты уже есть?
149,Как выяснить свой БИК?
150,нужно сканировать реквизиты
151,На какой счет поступила сумма 0.000? Как оплатить задолженность по карте?
152,"Кто получил деньги, а кто владеет телефоном — разные люди."
153,Почему на карте не показывается текущий лимит кредита?
154,Какая конкретная операция?
155,Каким образом можно получить временный пароль?
156,Какой способ получения картхолдера?
157,"Мне необходимо узнать БИК банка и расчётный счёт, но нигде их не нахожу."
158,"Okay, let's tackle this. The user wants me to rephrase the query ""Как привязать номер ребёнка к детской карте"" into one variant. First, I need to understand the original query. It's about linking a child's number to a children's card. The key terms here are ""привязать номер ребён"
159,"Как изменить пароль, если приложение требует ввести существующий, который не существует?"
160,Куда направлять платеж по долгу?
161,На детскую карту не приходят уведомления по СМС.
162,"Можно ли уточнить, какие карты мне принадлежат?"
163,"Номер карты ""Подорожник"" указан неверно."
164,В истории транзакций не показывается
165,Как оспорить проведенные операции?
166,"Адрес: г. Кызыл, Ленина улица, дом 00"
167,Как получить кэшбэк на маркетплейсах?
168,"Когда будет доступен заём, как его оформить?"
169,"Какой день недели будет 0 мая и будет ли банк работать завтра, когда планируем оформлять авто кредит?"
170,С какого дня начинает работать счёт?
171,"У меня зарплата поступает на карту Альфа, но нет уведомлений, почему?"
172,Номер карты изменился?
173,Как связаться с управлением отделения в городе Туапсе?
174,"Получила карту в спешке в аэропорту, теперь осознаю, что она мне не подходит."
175,Какая польза от карты Альфа-тревел за границей для покупок и переводов или она только для туристических услуг?
176,"Я подписывала документы в отделении, но у меня нет средств"
177,Не могу обнаружить счет кредита
178,"Мой муж выдал мне карту, но она не показывается в личном кабинете."
179,"Бонус сверху, какие преимущества он предоставляет?"
180,Где появились эти средства?
181,Где можно найти бик банка?
182,Как определить БИК?
183,Почему на карте отсутствуют средства?
184,Деньги прибыли?
185,"Пришлите, пожалуйста, реквизиты кредитной карты Альфа-Бизнес."
186,"Как определить, какой расчетный счет привязан к карте?"
187,"А появится ли карта в приложении, пока я её не заберу?"
188,Почему не поступает сообщение с кодом через SMS?
189,Каким образом можно получить карту?
190,Почему не видно средств на балансе?
191,"Обращение отправил на отвязку чужого счета от своего номера, но привязали не тот."
192,Какой еще существует кредитный счет?
193,"А откуда у него появилась эта сумма, она нигде не показана?"
194,Где можно найти карты в приложении?
195,Не вижу средств на своих счетах.
196,Какой телефон подходит для детской карты?
197,Какой у меня расчётный счёт?
198,Где были направлены денежные средства?
199,Как перевести визит в банк?
200,Проверочные SMS не поступают
201,Я недавно получил кредитную карту
202,Почему счет кредитной карты отсутствует у меня?
203,Какие операции доступны?
204,Где можно найти все мои счета?
205,Почему не поступают SMS-уведомления о поступлении денег на мой счет?
206,Какие операции можно выполнить?
207,Только что поступило на телефон
208,Как изменить пароль?
209,Какой вопрос по кешбеку на ваших картах?
210,Где можно получить деньги после одобрения кредита?
211,"Как получить уведомления от банка на телефон, кроме смс?"
212,Почему в приложении не отображается карта ребенка?
213,"Как действовать, если код для активации карты не приходит на телефон?"
214,Какой способ подтверждения нужен для открытия вклада?
215,Карта не отображается на экране
216,"Как часто мне приходится вводить номер карты и телефон, что вызывает неудобства, как это исправить?"
217,Бик
218,Когда истечет срок действия карты?
219,Переводы я получил сегодня
220,Могли ли переводы за сегодня быть получены или отклонены?
221,Как проверить платеж?
222,Где расположен офис банка в Ростове для подачи заявления на возврат средств?
223,"Оформлена кредитная карта на мое имя другим лицом, карта отсутствует в личном кабинете"
224,"Okay, let's tackle this. The user wants me to rephrase ""номер карты"" into one variant. First, I need to understand the original query. It's about a card number, probably in the context of a bank card or payment card."
225,Как закрыть счет и снять остаток средств из Альфа банка?
226,Как я могу получить?
227,Когда появится возможность получения кредитки в приложении?
228,При изменении номера возникает блокировка доступа к приложению
229,Как найти информацию о всех оплатах в адрес ООО Кладовкин?
230,"Мне одобрили кредитную карту, но в личном кабинете её нет."
231,Куда пропадают пополнения?
232,Список карт не отображается
233,"Здравствуйте, при попытке входа в приложение появляется сообщение ""обновить номер телефона"", нажимаю, что номер тот же, но возникает ошибка. Что делать?"
234,Где находятся работающие банкоматы в городе Якутск сегодня?
235,"Хочу погасить рассрочку на 0000 рублей, но не могу найти номер счета"
236,Как изменить информацию по номеру телефона?
237,"Карта, привязанная к зарплатному счету, больше не отображается"
238,Было ли пополнение рассрочки *0000?
239,Почему не приходит SMS для активации электронной подписи в Альфа Инвестициях?
240,Какой статус у платежа?
241,Как выяснить свой БИК?
242,Когда был открыт кредитный счет?
243,Какой номер счета карты?
244,"Okay, let's tackle this. The user received a card from Alpha Bank today, but the number on the physical card doesn't match the one in their online account or the app. They need a rephrased version of their query."
245,Не приходят уведомления о зачислении на карту
246,почему не отображаются реквизиты?
247,Банк на Каминтерне
248,Могу ли я получить реквизиты?
249,Как обменять местами телефонные номера?
250,Как провести кешаут?
251,Как получить ссылку для входа в онлайн-банкинг?
252,"Как закрыть рассрочку, если недостающая сумма уже внесена?"
253,"Мне не требуется, чтобы это отображалось таким образом."
254,Почему перестали приходить уведомления по СМС?
255,Как произвести последнюю оплату Инфо?
256,Как выяснить свой лицевой счёт?
257,Как получить историю операций по закрытому и открытому счету за 0000 год?
258,На мой счет поступило 00.000 рублей.
259,"Какие действия предпринять, если средства не отражены на карте после пополнения?"
260,"Операции, выполненные свыше года назад"
261,Какие операции можно выполнять по карте?
262,Где пропали пополнения на карту?
263,"Как определить лимит кредитной карты, если она ещё не получена?"
264,"В реквизитах отсутствует расчетный счет банка, который необходим для возврата штрафа"
265,Какие проблемы возникают с уведомлениями о списании средств?
266,Когда именно была заблокирована моя карта?
267,"Перевод 0 тысяч через СБП был сделан 0 минут назад, почему перевод отсутствует в истории платежей?"
268,"Как быть, если при оплате не приходит SMS, а уведомления включены?"
269,Как получить адрес для оплаты картой?
270,Где можно найти указанное место?
271,"Если срок платежа наступает завтра, то решение по кредитным каникулам нужно принять сегодня или можно ли это сделать с утра? Нужно изучить информацию."
272,"Эта выписка относится к одному кредиту? У меня несколько кредитов, но они все оформлены по одному договору?"
273,"Okay, let's tackle this. The user's original query is a bit confusing, but I need to rephrase it while keeping the key points. They mention that on the 00th number there were two deposits, one they transferred to their savings and then immediately sent to another person. The question is about where the money is now."
274,Где можно найти номер договора по кредитной карте?
275,"Пришлите, пожалуйста, выписку из банка, включающую наименование банка, расчетный счет и БИК."
276,Как оплатить такси за наш счет в мае?
277,Какой номер договора Альфа Страхования -Жизнь соответствует погашенному кредиту?
278,Где можно проверить статус этого процесса?
279,Какой последний перевод был выполнен?
280,Какие счета доступны?
281,Где найти реквизиты карты?
282,Где находится моя карта?
283,Как выяснить код банка?
284,"Где можно найти счет, к которому привязана моя карта?"
285,Сегодня является праздником или выходным днём?
286,"Почему некоторые поступления, такие как зарплата, не отображаются?"
287,Где можно узнать о зачислении?
288,Какие кешбеки у меня есть?
289,"Могу ли я получить номера договоров страхования для кредитов, которые были закрыты досрочно?"
290,"Почему не поступают уведомления о зачислениях, например, заработной платы, если уведомления через пуш включены?"
291,00 апреля произошла операция зачисления суммы 0000 руб. С какой стороны поступила эта сумма и куда она была зачислена?
292,Как получить подарочный сертификат от Озон на карту XXXXX и кешбэк?
293,Какой вопрос возникает относительно начисления кэшбека?
294,Какова сумма поступления на дебетовую карту?
295,Почему история об оплате отсутствует?
296,Как мне получить оставшиеся 0000 рублей с рассрочки?
297,Почему кредитная карта не показывается?
298,Как действовать при отсутствии кода для активации карты?
299,Как активировать кэшбек?
300,Как оформить дебетовый счет?
301,Как проверить пополнение счета для рассрочки?
302,Операции отсутствуют в истории
303,Где пропало пополнение на 0000 рублей?
304,"Уведомления по SMS в профиле подключены, но не поступают."
305,Как получить бонус?
306,Где находится адрес регистрации?
307,Как я пополнила баланс?
308,Какой максимальный лимит предоставляется на кредитную карту?
309,"Как определить, была ли операция успешной?"
310,Какой код банка используется для перевода?
311,Когда последний раз был баланс?
312,Какой кэшбэк предоставляется за операцию?
313,На мой счёт поступила сумма 00000 рублей от непознанного отправителя.
314,Сегодня является рабочим днём или на бирже праздничный день?
315,Какой объем кредита предоставляется?
316,Как произвести расчет по счету?
317,"Как подключить приложение для ребенка, если не приходит СМС на телефон?"
318,Почему карта отображается как 0000 рублей в онлайн-банке?
319,Почему не пришло сообщение на телефон?
320,Какая история у меня с кредитом?
321,Почему в приложении не показывался кредит XXXXX? Я получил сообщение и сразу произвел оплату!
322,Не могу увидеть реквизиты
323,Поступили ли денежные средства на кредит?
324,"Здравствуйте, просите перезвонить, у меня приложение отключилось после замены телефона."
325,Какое последнее пополнение?
326,Как проверить расчётный счёт?
327,В приложении у ребёнка не показывается его карта
328,"Сделал перевод между счетами, не понимаю, куда исчезла сумма?"
329,Как проверить статус оплаты XXXXX?
330,Где находится чек на 00.000? Почему он не отображается в истории?
331,Пришло только сообщение об уведомлении.
332,"Можно ли уточнить информацию о переводе, совершенном другим пользователями на мой счет?"
333,Где можно найти счет?
334,Где можно найти информацию о своих счетах?
335,Что за услуги или опции связаны с моим кредитом?
336,Как получить бонусы?
337,Какая оплата была проведена?
338,можно ли использовать кредитную карту до её получения из офиса?
339,Где можно найти бик банка?
340,На мой номер не приходит сообщение СМС
341,Не могу обнаружить бик и корсчет
342,Почему кэшбек за покупку в аптеке не был начислен через стикер?
343,Что происходит с моим номером?
344,Какой у меня код банка?
345,Где можно проверить размеры поступлений от дивидендов и купонов?
346,"Здравствуйте, деньги зачислились 00 числа, но я не знаю, от кого они. Номер телефона отправителя не виден, где можно его узнать? Я не ожидала денег от кого-либо."
347,Почему необходимо каждый раз вводить логин и пароль для входа? И почему код доступа не сохраняется?
348,"Каким образом списали 0000 рублей в счет долга, который я оплатила с другого банка два месяца назад?"
349,"Самостоятельно не могу, так как номер такой же, но его не подтверждают через код из SMS."
350,Почему операция исчезла из истории переводов?
351,"Пуш-уведомления были активированы, сейчас выключила, попробую через SMS."
352,Где можно найти информацию о БИК?
353,Як отримати кешбек?
354,У меня есть счет на кредитную карту?
355,"Как определить, на какой счет поступил перевод 0000?"
356,"Здравствуйте, не могу погасить долг из-за блокировки средств."
357,"Как быть, если не приходят уведомления и смс?"
358,Какой последний платеж на сумму 0000?
359,почему мои карты и платежный стикер не показываются?
360,Почему в приложении не показывается кредитная карта?
361,Не отображается баланс кредитной карты после внесения платежа
362,Почему кредитная карта отсутствует в приложении?
363,"Почему в приложении отображается только новая карта, а старая отсутствует?"
364,Кредитная карта отсутствует в приложении
365,Как открыть дебетовый счёт?
366,Какой бонус предоставляется сверху?
367,Какой почтовый адрес у банка?
368,Сколько времени действует кредитная карта?
369,Где находится 000 тысяча?
370,В истории расходные операции не отображаются
371,"Счет предоставлен правильно, однако денежные средства не отображаются."
372,Как получить кэшбек?
373,Сколько мне одобрено?
374,"Уменьшил лимит, но не приходят neither SMS, ни push-уведомления для подтверждения."
375,Как получить кэшбэк?
376,Карта ребенка не отображается в личном кабинете.
377,Почему средства отсутствуют на балансе?
378,Уведомление о временно выданном пароле
379,Какая карта появилась в приложении после замены?
380,Где находится кредитная карта в приложении?
381,Где можно найти расчетный счет?
382,Почему не поступают уведомления о зачислении денег на карту?
383,Как получить реквизиты счета без указания отчества?
384,Как проверить остаток на кредитной карте?
385,В истории операций некоторые записи отсутствуют.
386,А что я получил за это перечисление?
387,Какой номер счёта и БИК вам необходим?
388,"Как определить, в каком магазине была совершена покупка?"
389,Если сумма счета значительно отличается от ожидаемой
390,"Не могу найти, куда пропали средства"
391,Как удалить уведомление о переводе?
392,Могу ли я получить карту в Санкт-Петербурге завтра вместо поселка Сосново?
393,Деньги были зачислены?
394,Какие операции возможны?
395,Какой номер карты?
396,Где можно найти информацию о последних операциях за 0 лет в приложении?
397,"Что делать, если номер был аннулирован и необходимо изменить его здесь?"
398,Деньги были зачислены на счет?
399,Какая кредитная карта не отображается в моих продуктах?
400,Как получить информацию о реквизитах карты?
401,Какова стоимость альфа-стикера (000 р) — за год или за каждый месяц в течение года?
402,Сms не было получено
403,Смс для подтверждения перевода не поступает
404,Какую сумму?
405,Какой счет банка используется для корреспондентских операций?
406,"Как определить номер счета, с которого списывается кредит?"
407,На счетах не наблюдается средств
408,Почему оплата через стикер не идет?
409,Как получить полную историю платежей через QR-код?
410,Можно ли использовать кредитную карту до получения пластиковой карты?
411,Какая последняя транзакция была проведена?
412,Хочу изменить номер для перевода по этому номеру и обновить пароль для входа в онлайн-банкинг.
413,Деньги не поступают на счет по кредиту.
414,"Могли бы вы уточнить, пожалуйста, что такое XXXXX и какова его стоимость в месяц?"
415,Как называется банк?
416,"Геннадий, ничего не помогает. СМС на закрытие и другие операции приходят, но не приходит на активацию. Вчера вечером тоже такое происходило. Не могу активировать карту."
417,"Okay, let's tackle this. The user wants a rephrased version of their query. The original is in Russian, so I need to make sure I understand it first. The query says: ""Здравствуйте, лимит кредитной карты 00000, перевод был сделан на счёт этой карты"
418,Могу ли я перенести срок оплаты кредита на 0–0 дней и гарантировать погашение 00 мая?
419,Нужно ли лицевой счёт для получения зарплаты?
420,"Как оформить кредит на карту, если одобрили 0 тысяч рублей, но текущий счёт не совпадает с картой?"
421,"Как получить номера договоров, даты их заключения и текущие суммы задолженности по ним?"
422,Как произвести зачисление на карту?
423,За 0 мая
424,Где можно узнать номер расчетного счета?
425,Как мне узнать свой расчетный счет?
426,Сколько было поступлений в апреле?
427,Почему возникает проблема с входом в личный кабинет?
428,Где можно найти номер договора страхования?
429,"Okay, let's tackle this. The user wants a rephrased version of their query. The original is in Russian, so I need to make sure I understand it first. They took out a KPNZ (probably a loan or credit) from a bank recently. Today, someone from Rosreestra called, asking to pay a state fee."
430,Прошу подтвердить завершение погашения кредита.
431,Как произвести оплату за квитанции марта и апреля?
432,Какие проблемы возникают при получении СМС и пуш-уведомлений для активации карты?
433,"Где исчезли 0000 рублей, они не отображаются ни на одном счете?"
434,Как определить дату выдачи действующей кредитной карты?
435,Как получить номер счета и БИК?
436,Деньги поступили на кредитный счёт или не поступили?
437,Как произвести расчет по карте?
438,Какая сумма была списана со счета карты?
439,Как выполнить операцию за 0 мая?
440,Почему кредитная карта не показывается?
441,Перевод не отображается в истории.
442,Проверил все операции по своей карте.
443,Реквизиты были проверены.
444,Как определить свой БИК?
445,В истории платежей отсутствуют записи за 0000 года.
446,Не отображается информация о поступлении!
447,Какой счет был использован для пополнения средств из другого банка?
448,Почему не отправляется уведомление о подтверждении перевода из Альфы в другой банк?
449,"Как я могу записаться в отделение банка, чтобы забрать готовую детскую карту?"
450,Когда истекает срок действия кредитной карты?
451,Как выяснить номер расчетного счета?
452,Почему кредитная карта отсутствует в списке карт?
453,Почему последняя оплата отсутствует в истории?
454,Кредитный лимит не показывается.
455,Какой номер договора действующего страхования по ипотеке?
456,Не могу найти свою карту в приложении
457,Почему не получается закрыть счёт рассрочки? Смс не приходит
458,"Как мне посмотреть историю покупок и выплат от банка, а также сколько раз я получала выплаты в размере 0000 рублей?"
459,Где будут направлены средства после закрытия?
460,Переведены средства по кредиту на счёт 00 мая. Резерв на счёте составляет 00 000 тыс. Теперь средств недостаточно для списания. Что это означает и будут ли эти 00 000 списаны по кредиту?
461,Где расположен?
462,На какой счет были зачислены 000 рублей?
463,Смс не поступают при оплате картой через интернет
464,Почему не поступают уведомления о зачислении средств на счет?
465,Какой код банка?
466,"Если я переведу средства на Альфа-банк, будут ли они поступать на карту или останутся неясными?"
467,Какой банк?
468,"Совершила перевод, но его нет в истории."
