q_id,web_list
118,"[1186, 372, 331, 372, 1721]"
119,"[1721, 1040, 395, 1915, 1705]"
120,"[1935, 393, 393, 1141, 290]"
121,"[368, 1157, 368, 372, 372]"
122,"[1789, 1791, 1788, 1815, 1793]"
123,"[419, 1273, 1032, 1068, 935]"
124,"[1704, 1116, 994, 783, 292]"
125,"[657, 943, 1843, 791, 1784]"
126,"[876, 869, 882, 877, 880]"
127,"[937, 165, 919, 163, 921]"
128,"[535, 454, 114, 16, 455]"
129,"[368, 1157, 1272, 368, 372]"
130,"[1760, 292, 1555, 292, 1555]"
131,"[1918, 489, 1752, 1173, 643]"
132,"[1907, 1907, 1907, 1705, 1907]"
133,"[1758, 1761, 1705, 1704, 1915]"
134,"[1916, 1030, 1025, 419, 1032]"
135,"[1705, 1704, 1705, 1777, 1765]"
136,"[1740, 1918, 489, 686, 30]"
137,"[1607, 372, 372, 1098, 783]"
138,"[1607, 1040, 390, 1770, 980]"
139,"[1724, 1724, 1137, 975, 271]"
140,"[1842, 678, 1833, 1837, 1752]"
141,"[1704, 1705, 692, 361, 1869]"
142,"[291, 1704, 1589, 1926, 1562]"
143,"[165, 166, 920, 1193, 1909]"
144,"[1705, 1907, 1705, 1705, 1880]"
145,"[1807, 1570, 125, 1287, 116]"
146,"[1918, 686, 489, 454, 718]"
147,"[1914, 113, 1067, 96, 97]"
148,"[1761, 1770, 1761, 95, 1567]"
149,"[1039, 1098, 717, 717, 1113]"
150,"[372, 1562, 1072, 1157, 657]"
151,"[1915, 1916, 1528, 164, 1261]"
152,"[1066, 1113, 289, 335, 1070]"
153,"[919, 163, 175, 1029, 921]"
154,"[1752, 1918, 437, 1159, 1615]"
155,"[1704, 1705, 1704, 692, 692]"
156,"[1918, 124, 101, 1740, 1050]"
157,"[368, 368, 372, 1185, 761]"
158,"[1071, 1071, 1071, 1071, 1071]"
159,"[1277, 692, 692, 449, 693]"
160,"[395, 271, 1029, 975, 925]"
161,"[1071, 1071, 1748, 1071, 1526]"
162,"[1770, 95, 980, 1745, 1907]"
163,"[1704, 1705, 1770, 1705, 1704]"
164,"[1705, 1795, 1705, 1704, 1704]"
165,"[340, 340, 300, 300, 979]"
166,"[1895, 1015, 1877, 112, 1877]"
167,"[102, 124, 353, 60, 165]"
168,"[1649, 974, 175, 356, 1929]"
169,"[270, 165, 150, 271, 737]"
170,"[1704, 1705, 1704, 1301, 1704]"
171,"[1677, 1674, 1704, 1705, 89]"
172,"[1907, 1705, 1704, 1770, 1567]"
173,"[1297, 1636, 257, 899, 763]"
174,"[1916, 113, 1526, 1748, 1910]"
175,"[98, 1073, 1557, 409, 1534]"
176,"[116, 773, 1763, 1547, 1901]"
177,"[1721, 975, 362, 1273, 1929]"
178,"[868, 1748, 1899, 89, 1526]"
179,"[1135, 1135, 97, 1247, 1137]"
180,"[1915, 1915, 922, 1603, 752]"
181,"[717, 368, 1116, 717, 783]"
182,"[372, 372, 368, 717, 1098]"
183,"[1915, 1561, 1543, 1534, 1556]"
184,"[1915, 773, 922, 752, 89]"
185,"[819, 746, 764, 1623, 743]"
186,"[1157, 372, 372, 372, 368]"
187,"[113, 1899, 113, 124, 1904]"
188,"[116, 116, 455, 98, 361]"
189,"[404, 1918, 1773, 1892, 1876]"
190,"[1915, 1277, 1704, 1915, 1831]"
191,"[1705, 1705, 1344, 1921, 1704]"
192,"[1705, 1704, 1705, 1705, 164]"
193,"[1915, 1915, 1705, 1077, 1792]"
194,"[1770, 124, 95, 1629, 1539]"
195,"[1258, 1256, 1577, 1577, 1344]"
196,"[1071, 811, 1071, 1071, 1748]"
197,"[1186, 705, 331, 1185, 1602]"
198,"[1557, 1277, 926, 1557, 926]"
199,"[271, 1205, 1048, 1030, 783]"
200,"[1704, 454, 455, 1760, 1760]"
201,"[1033, 1029, 1914, 470, 165]"
202,"[1915, 1705, 455, 921, 164]"
203,"[1269, 1763, 1024, 1019, 1269]"
204,"[1607, 1272, 1271, 372, 368]"
205,"[97, 96, 922, 455, 98]"
206,"[1740, 1918, 1019, 1763, 1268]"
207,"[454, 1277, 1746, 1610, 1610]"
208,"[692, 1758, 1762, 1705, 1704]"
209,"[420, 96, 409, 60, 1746]"
210,"[214, 206, 214, 728, 1929]"
211,"[1761, 1762, 96, 97, 98]"
212,"[1748, 868, 890, 1915, 1748]"
213,"[819, 922, 1032, 124, 1921]"
214,"[783, 292, 440, 1724, 116]"
215,"[1705, 800, 124, 11, 5]"
216,"[1040, 1032, 922, 1589, 1567]"
217,"[1918, 404, 136, 1892, 1773]"
218,"[1760, 1768, 1775, 1588, 1770]"
219,"[398, 1619, 364, 671, 98]"
220,"[98, 1704, 98, 1619, 1260]"
221,"[1040, 343, 98, 1157, 1607]"
222,"[341, 419, 698, 1769, 1710]"
223,"[1035, 1914, 1915, 1526, 1032]"
224,"[1705, 1704, 1705, 1770, 1567]"
225,"[1906, 1704, 901, 752, 759]"
226,"[1615, 322, 1628, 1918, 1740]"
227,"[1746, 165, 113, 410, 1202]"
228,"[454, 454, 455, 1704, 1705]"
229,"[368, 696, 1704, 698, 660]"
230,"[113, 1033, 470, 927, 1526]"
231,"[1150, 1637, 1077, 1786, 1869]"
232,"[1768, 1926, 11, 124, 1795]"
233,"[1662, 1113, 454, 114, 16]"
234,"[1116, 747, 763, 758, 1185]"
235,"[368, 1043, 372, 439, 1273]"
236,"[1636, 438, 1171, 1636, 16]"
237,"[1899, 1705, 1065, 1927, 1899]"
238,"[1704, 1758, 1705, 1705, 1705]"
239,"[439, 1636, 439, 439, 439]"
240,"[688, 1592, 410, 335, 1202]"
241,"[372, 717, 717, 1098, 1113]"
242,"[938, 175, 166, 1033, 1909]"
243,"[1770, 1705, 1705, 1567, 1704]"
244,"[1526, 1523, 96, 97, 1527]"
245,"[919, 1705, 1025, 1753, 1616]"
246,"[377, 1704, 1609, 108, 1273]"
247,"[1116, 858, 783, 763, 1670]"
248,"[842, 657, 913, 791, 634]"
249,"[455, 454, 455, 1113, 455]"
250,"[1298, 1918, 1668, 1050, 1740]"
251,"[1601, 675, 1726, 1601, 1726]"
252,"[1528, 1043, 1030, 1906, 1091]"
253,"[697, 368, 1918, 1615, 1]"
254,"[1704, 116, 455, 455, 98]"
255,"[1705, 1761, 1758, 84, 1752]"
256,"[1157, 1157, 368, 1157, 1676]"
257,"[371, 740, 748, 1894, 924]"
258,"[1290, 1547, 1861, 913, 346]"
259,"[1915, 1344, 410, 1915, 1526]"
260,"[1704, 1705, 1705, 1763, 1752]"
261,"[1828, 1833, 1837, 1810, 1894]"
262,"[89, 1907, 1915, 89, 1561]"
263,"[419, 919, 1025, 921, 419]"
264,"[1721, 108, 1344, 327, 108]"
265,"[478, 922, 1014, 1777, 1765]"
266,"[106, 89, 1671, 106, 106]"
267,"[1655, 292, 1550, 1758, 292]"
268,"[1924, 1761, 1704, 478, 455]"
269,"[688, 688, 368, 1098, 1040]"
270,"[1190, 1918, 379, 334, 1740]"
271,"[1154, 271, 410, 1202, 165]"
272,"[1704, 1705, 1704, 1704, 1756]"
273,"[1704, 1705, 1837, 1833, 1828]"
274,"[1157, 1608, 1033, 353, 1193]"
275,"[363, 363, 363, 1270, 372]"
276,"[98, 290, 290, 290, 1122]"
277,"[1785, 1785, 1785, 1785, 1705]"
278,"[1147, 1023, 1023, 1131, 692]"
279,"[1918, 885, 489, 686, 1740]"
280,"[1891, 372, 361, 372, 1159]"
281,"[1157, 1607, 372, 1157, 1202]"
282,"[1770, 1899, 1915, 124, 1526]"
283,"[372, 372, 368, 1098, 368]"
284,"[258, 1906, 321, 1526, 1676]"
285,"[1705, 1704, 1157, 441, 1740]"
286,"[1674, 1131, 1603, 331, 1673]"
287,"[28, 23, 28, 28, 40]"
288,"[1118, 60, 1746, 60, 60]"
289,"[259, 259, 1930, 1153, 1153]"
290,"[1704, 1758, 1705, 98, 1924]"
291,"[89, 1842, 430, 1258, 1256]"
292,"[752, 1173, 1746, 102, 124]"
293,"[1247, 60, 60, 420, 420]"
294,"[175, 933, 936, 1753, 1753]"
295,"[1915, 334, 1704, 1762, 1763]"
296,"[983, 985, 212, 1915, 165]"
297,"[1915, 289, 1064, 1032, 1914]"
298,"[819, 922, 1904, 1526, 1032]"
299,"[126, 1713, 420, 1247, 1540]"
300,"[271, 349, 734, 1273, 362]"
301,"[1043, 1704, 1043, 1704, 1705]"
302,"[1795, 411, 388, 1705, 1704]"
303,"[1874, 1824, 1261, 1258, 1299]"
304,"[1758, 1705, 1760, 98, 1924]"
305,"[1918, 875, 875, 1740, 633]"
306,"[1727, 1190, 1171, 391, 1647]"
307,"[102, 1148, 1131, 1598, 1748]"
308,"[921, 419, 163, 175, 1029]"
309,"[412, 116, 411, 165, 116]"
310,"[135, 1098, 372, 717, 856]"
311,"[361, 1045, 1793, 1704, 1793]"
312,"[60, 1118, 1197, 1247, 163]"
313,"[913, 481, 1256, 1704, 1299]"
314,"[1687, 434, 1094, 441, 441]"
315,"[928, 352, 1666, 1548, 419]"
316,"[1186, 361, 372, 705, 1721]"
317,"[454, 454, 455, 1614, 1610]"
318,"[1915, 113, 1914, 102, 124]"
319,"[455, 1900, 116, 455, 98]"
320,"[190, 1929, 359, 1045, 1149]"
321,"[1915, 1915, 890, 112, 1590]"
322,"[368, 1705, 1609, 1636, 108]"
323,"[964, 1754, 165, 1929, 1592]"
324,"[116, 1614, 1610, 1610, 1638]"
325,"[1901, 1704, 1869, 1869, 1704]"
326,"[1607, 1157, 372, 1186, 372]"
327,"[1915, 1748, 1748, 124, 11]"
328,"[1721, 1557, 1560, 1915, 1915]"
329,"[1147, 678, 688, 1760, 678]"
330,"[1915, 1705, 1298, 1915, 1704]"
331,"[1762, 1704, 1704, 1761, 1704]"
332,"[1758, 96, 97, 1762, 1705]"
333,"[368, 439, 1273, 108, 1528]"
334,"[1607, 1272, 362, 368, 1344]"
335,"[969, 955, 968, 970, 921]"
336,"[663, 633, 651, 653, 643]"
337,"[1915, 335, 1592, 688, 1040]"
338,"[1029, 113, 1526, 165, 921]"
339,"[717, 368, 1116, 717, 783]"
340,"[455, 922, 98, 455, 16]"
341,"[1147, 1273, 1918, 1274, 791]"
342,"[165, 1902, 98, 420, 60]"
343,"[114, 1113, 455, 455, 454]"
344,"[1098, 377, 1039, 1062, 372]"
345,"[309, 1102, 1083, 1102, 1102]"
346,"[165, 1897, 1922, 1915, 455]"
347,"[692, 1277, 693, 116, 888]"
348,"[1915, 1344, 1560, 1030, 1040]"
349,"[1113, 1113, 114, 454, 455]"
350,"[1705, 1752, 857, 1619, 1516]"
351,"[1704, 1924, 97, 478, 98]"
352,"[1039, 783, 1599, 717, 1740]"
353,"[163, 163, 1672, 925, 1118]"
354,"[159, 937, 164, 980, 1676]"
355,"[1724, 1260, 1261, 1256, 1258]"
356,"[1915, 369, 1915, 1344, 1344]"
357,"[1758, 1924, 1704, 455, 455]"
358,"[1813, 1814, 1815, 1818, 1819]"
359,"[1915, 1704, 1704, 165, 164]"
360,"[1915, 890, 113, 112, 1915]"
361,"[335, 1916, 1026, 1915, 1042]"
362,"[890, 1915, 112, 112, 1915]"
363,"[1915, 1899, 112, 321, 43]"
364,"[1915, 113, 1897, 1922, 1526]"
365,"[1186, 1157, 331, 1721, 1602]"
366,"[875, 101, 1918, 218, 633]"
367,"[1270, 702, 363, 368, 1662]"
368,"[1026, 1034, 175, 728, 1041]"
369,"[1290, 379, 1758, 913, 1297]"
370,"[1770, 1705, 1817, 1816, 1019]"
371,"[1721, 1915, 1705, 1273, 1831]"
372,"[124, 1118, 925, 1247, 60]"
373,"[1824, 1628, 1918, 404, 842]"
374,"[116, 406, 407, 116, 98]"
375,"[1247, 1118, 60, 925, 420]"
376,"[1704, 1071, 1748, 868, 1071]"
377,"[1185, 1603, 1344, 1676, 1279]"
378,"[1704, 1704, 1705, 1762, 1758]"
379,"[1907, 1899, 335, 1770, 1899]"
380,"[113, 335, 321, 1915, 113]"
381,"[368, 368, 368, 368, 1157]"
382,"[1915, 1025, 1014, 159, 937]"
383,"[368, 980, 1157, 372, 372]"
384,"[1914, 1033, 164, 1029, 1909]"
385,"[1705, 343, 856, 1704, 1704]"
386,"[1915, 1704, 1915, 1705, 1704]"
387,"[372, 1157, 372, 368, 372]"
388,"[1176, 344, 341, 1176, 289]"
389,"[1721, 368, 1185, 1037, 362]"
390,"[1044, 1915, 868, 1915, 1748]"
391,"[1704, 1758, 1760, 1705, 361]"
392,"[881, 1922, 1897, 409, 935]"
393,"[1915, 913, 1259, 1253, 1705]"
394,"[1024, 1763, 1269, 692, 1833]"
395,"[1770, 1705, 1704, 1705, 1567]"
396,"[190, 368, 349, 1041, 1894]"
397,"[375, 1171, 114, 375, 438]"
398,"[773, 1705, 89, 1659, 1676]"
399,"[1033, 165, 1904, 1914, 922]"
400,"[1775, 1704, 980, 1704, 1567]"
401,"[1706, 1746, 1822, 409, 164]"
402,"[1705, 1704, 439, 1273, 992]"
403,"[1704, 257, 1598, 1900, 1763]"
404,"[913, 1705, 225, 1000, 1861]"
405,"[1775, 1799, 1775, 1766, 1705]"
406,"[372, 372, 862, 368, 1098]"
407,"[369, 368, 1705, 1577, 1704]"
408,"[1704, 1704, 1025, 159, 175]"
409,"[339, 1655, 1705, 692, 339]"
410,"[866, 1066, 1907, 1907, 164]"
411,"[1758, 692, 1203, 1659, 773]"
412,"[96, 97, 125, 409, 1618]"
413,"[1915, 1014, 362, 408, 1929]"
414,"[1855, 1861, 1871, 1813, 1820]"
415,"[1803, 1704, 1187, 1875, 1786]"
416,"[1904, 89, 1746, 922, 1526]"
417,"[919, 163, 166, 419, 925]"
418,"[197, 919, 1592, 164, 1929]"
419,"[1162, 1157, 1157, 1186, 761]"
420,"[1676, 165, 952, 410, 1202]"
421,"[1027, 372, 727, 726, 1650]"
422,"[1025, 159, 937, 1704, 1808]"
423,"[1823, 1829, 1827, 1865, 404]"
424,"[368, 1607, 368, 705, 1186]"
425,"[1157, 1607, 368, 368, 455]"
426,"[365, 1789, 1788, 1790, 1791]"
427,"[643, 693, 1910, 1875, 1875]"
428,"[259, 259, 259, 224, 1153]"
429,"[1721, 1056, 390, 1104, 856]"
430,"[146, 918, 1488, 1026, 1590]"
431,"[365, 361, 90, 1869, 1704]"
432,"[96, 97, 478, 98, 116]"
433,"[1915, 1258, 1256, 1253, 1261]"
434,"[862, 1914, 1909, 1193, 1909]"
435,"[1567, 372, 1157, 372, 1562]"
436,"[1915, 1766, 1754, 1754, 165]"
437,"[1705, 1705, 1705, 1704, 1705]"
438,"[1030, 1030, 89, 166, 89]"
439,"[1833, 1828, 225, 269, 251]"
440,"[1915, 289, 1064, 1032, 1914]"
441,"[1147, 885, 1918, 108, 1275]"
442,"[1705, 1828, 1839, 1833, 1838]"
443,"[1803, 657, 992, 791, 1784]"
444,"[349, 455, 1039, 372, 1098]"
445,"[1752, 922, 1777, 1765, 1298]"
446,"[1001, 1721, 98, 1752, 1763]"
447,"[96, 97, 1705, 1704, 1758]"
448,"[98, 97, 96, 922, 478]"
449,"[1071, 1071, 1071, 164, 1050]"
450,"[1026, 1761, 1029, 1193, 670]"
451,"[368, 1157, 372, 368, 372]"
452,"[1915, 113, 1520, 1916, 1909]"
453,"[343, 692, 334, 1704, 1753]"
454,"[928, 419, 419, 1029, 419]"
455,"[224, 259, 224, 995, 259]"
456,"[1915, 1899, 1897, 1526, 1904]"
457,"[1043, 1273, 408, 455, 1043]"
458,"[1262, 1087, 1271, 446, 1279]"
459,"[1179, 1705, 1178, 1086, 615]"
460,"[1560, 1561, 410, 1202, 164]"
461,"[1298, 1918, 1740, 1785, 489]"
462,"[1676, 1290, 125, 669, 762]"
463,"[1884, 922, 1543, 1655, 922]"
464,"[361, 1014, 922, 89, 1704]"
465,"[1704, 1098, 349, 1116, 372]"
466,"[96, 1068, 1618, 1746, 89]"
467,"[73, 1116, 994, 1076, 1185]"
468,"[885, 1901, 1628, 1918, 1740]"
469,"[439, 657, 791, 322, 663]"
470,"[447, 1615, 1192, 447, 1]"
471,"[1704, 1304, 1690, 1301, 1690]"
472,"[1628, 1918, 484, 1770, 657]"
473,"[1043, 197, 1043, 164, 1929]"
474,"[98, 849, 409, 409, 108]"
475,"[1915, 430, 1676, 1299, 1261]"
476,"[1901, 1918, 460, 1827, 1740]"
477,"[1577, 835, 1921, 1087, 1258]"
478,"[1915, 1064, 113, 1914, 106]"
479,"[1313, 124, 1063, 11, 1617]"
480,"[1157, 368, 331, 1186, 1602]"
481,"[1790, 1790, 1290, 1792, 1000]"
482,"[292, 292, 1722, 1702, 96]"
483,"[1607, 1272, 1273, 1186, 1157]"
484,"[1900, 116, 1822, 1837, 1833]"
485,"[1748, 1071, 1071, 1071, 1071]"
486,"[1607, 1272, 1271, 362, 372]"
487,"[1184, 438, 116, 1705, 1704]"
488,"[938, 175, 1034, 1041, 1620]"
489,"[1833, 1837, 1853, 272, 1902]"
490,"[1915, 922, 851, 96, 1884]"
491,"[98, 420, 60, 1672, 925]"
492,"[372, 368, 368, 372, 372]"
493,"[1915, 1833, 1828, 1543, 1704]"
494,"[321, 1609, 116, 1915, 1915]"
495,"[1838, 1840, 1853, 1839, 1894]"
496,"[1050, 1030, 615, 783, 1185]"
497,"[1157, 368, 372, 1272, 372]"
498,"[921, 165, 165, 925, 164]"
499,"[116, 1192, 692, 693, 692]"
500,"[1918, 489, 686, 188, 1740]"
501,"[455, 1277, 1705, 455, 455]"
502,"[1147, 1543, 102, 455, 1915]"
503,"[1910, 1910, 1032, 1600, 1910]"
504,"[980, 419, 102, 1025, 919]"
505,"[1019, 1019, 1019, 1022, 1019]"
506,"[489, 686, 1740, 101, 441]"
507,"[1277, 1277, 1935, 719, 1649]"
508,"[1906, 1528, 1916, 1588, 1916]"
509,"[1915, 1064, 1032, 1589, 1899]"
510,"[362, 885, 489, 108, 1740]"
511,"[535, 454, 455, 114, 454]"
512,"[1202, 410, 372, 372, 372]"
513,"[719, 975, 813, 352, 1929]"
514,"[1188, 363, 363, 363, 1157]"
515,"[165, 159, 937, 165, 1025]"
516,"[408, 1929, 98, 1592, 455]"
517,"[164, 1607, 1157, 1602, 1676]"
518,"[980, 1915, 164, 1909, 1914]"
519,"[375, 1731, 1647, 108, 1171]"
520,"[1761, 1761, 922, 1758, 455]"
521,"[1098, 1045, 377, 1147, 1045]"
522,"[164, 410, 1202, 688, 773]"
523,"[1915, 1752, 1704, 1915, 1766]"
524,"[724, 1777, 380, 851, 89]"
525,"[424, 377, 1915, 1825, 362]"
526,"[1713, 289, 1705, 1704, 1704]"
527,"[1025, 164, 937, 410, 1202]"
528,"[1127, 372, 372, 730, 740]"
529,"[1786, 1790, 1787, 1793, 1793]"
530,"[1705, 1704, 1704, 1705, 1705]"
531,"[1915, 773, 1344, 773, 1603]"
532,"[1659, 1793, 1675, 1659, 1793]"
533,"[372, 368, 857, 372, 1567]"
534,"[1147, 283, 1148, 283, 1148]"
535,"[1828, 1833, 1842, 1837, 1843]"
536,"[1116, 1705, 924, 400, 430]"
537,"[1758, 1761, 1760, 1758, 1924]"
538,"[478, 1344, 851, 1344, 89]"
539,"[259, 1153, 259, 1153, 1153]"
540,"[873, 1918, 686, 489, 1740]"
541,"[1637, 1269, 1014, 1592, 1592]"
542,"[643, 1910, 1662, 116, 16]"
543,"[1273, 1528, 1906, 1202, 410]"
544,"[1760, 1760, 1907, 1761, 1770]"
545,"[1040, 1076, 79, 1087, 851]"
546,"[1609, 410, 1202, 164, 1676]"
547,"[1298, 1261, 1250, 1528, 1676]"
548,"[1561, 618, 1918, 1290, 773]"
549,"[1704, 1926, 1926, 1704, 1705]"
550,"[604, 1672, 964, 165, 271]"
551,"[670, 1915, 902, 165, 1299]"
552,"[1921, 1705, 1705, 1567, 1770]"
553,"[368, 705, 368, 1186, 331]"
554,"[1157, 368, 1157, 1157, 1872]"
555,"[1705, 1931, 1915, 1705, 512]"
556,"[1760, 455, 1915, 114, 455]"
557,"[372, 1567, 1609, 372, 1098]"
558,"[1924, 1746, 478, 98, 1884]"
559,"[1071, 1071, 811, 811, 124]"
560,"[1770, 1817, 1816, 1841, 1838]"
561,"[116, 1915, 1907, 1705, 1157]"
562,"[1915, 1543, 1561, 89, 124]"
563,"[1813, 1814, 1818, 1820, 1819]"
564,"[116, 455, 922, 1924, 98]"
565,"[419, 419, 919, 921, 419]"
566,"[1071, 1748, 1071, 1071, 1748]"
567,"[60, 1247, 60, 1118, 1141]"
568,"[1915, 1915, 878, 1592, 865]"
569,"[1769, 1894, 1193, 1770, 1909]"
570,"[1607, 617, 372, 1344, 1344]"
571,"[1030, 106, 1906, 1588, 1916]"
572,"[1915, 1032, 164, 921, 670]"
573,"[1899, 1899, 1526, 89, 1915]"
574,"[372, 372, 368, 1562, 1567]"
575,"[1915, 926, 1557, 926, 773]"
576,"[1871, 1834, 1830, 1830, 364]"
577,"[1157, 460, 1705, 1704, 441]"
578,"[1897, 1526, 159, 937, 1025]"
579,"[1915, 1899, 1526, 113, 1025]"
580,"[211, 1202, 410, 1061, 1025]"
581,"[259, 419, 165, 256, 851]"
582,"[1558, 96, 97, 1915, 752]"
583,"[1907, 1616, 1745, 1907, 1907]"
584,"[1762, 1760, 1761, 1758, 1758]"
585,"[89, 1555, 1915, 1915, 1279]"
586,"[773, 1025, 164, 159, 937]"
587,"[1915, 1915, 116, 1522, 1638]"
588,"[1620, 1915, 1894, 1909, 1909]"
589,"[165, 921, 1586, 1909, 1193]"
590,"[1765, 1030, 1915, 1560, 1603]"
591,"[116, 922, 478, 98, 1273]"
592,"[108, 106, 168, 257, 917]"
593,"[1247, 60, 420, 60, 1746]"
594,"[123, 108, 1721, 108, 1721]"
595,"[1752, 1061, 885, 1766, 1790]"
596,"[116, 455, 1924, 98, 455]"
597,"[1915, 1589, 124, 1629, 95]"
598,"[424, 424, 1830, 1147, 688]"
599,"[1721, 395, 1557, 1765, 1777]"
600,"[1560, 1561, 692, 922, 455]"
601,"[1290, 1704, 789, 1765, 1777]"
602,"[1298, 1753, 1827, 1830, 1259]"
603,"[489, 686, 1918, 484, 868]"
604,"[1758, 1705, 1761, 1762, 1758]"
605,"[1915, 1620, 1032, 1030, 419]"
606,"[980, 1915, 419, 1030, 1915]"
607,"[372, 1704, 740, 748, 844]"
608,"[1705, 1762, 1762, 1761, 1705]"
609,"[1705, 1704, 1758, 1704, 1758]"
610,"[355, 913, 698, 341, 344]"
611,"[1134, 460, 1022, 401, 1723]"
